Time,Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2)
0,-0.003473205,0.000139626,0.4569097,0,0,0,-23.22117,46.07393,-990.1055
0,-0.003473205,0.000139626,0.4569097,0,0,0,-23.22117,46.07393,-990.1055
60,-0.003473205,0.00015708,0.4568574,0,0,0,-26.46025,46.47417,-981.7979
130,-0.003525565,0.00010472,0.4568574,0,0,0,-29.78727,46.4753,-986.2739
200,-0.003577925,8.73E-05,0.4568748,0,0,0,-23.86264,46.30214,-981.1079
272,-0.003612831,0.000122173,0.4568923,0,0,0,-23.33432,46.32059,-981.1157
340,-0.003612831,0.000139626,0.4568574,0,0,0,-23.23708,46.35465,-981.1196
410,-0.003630285,0.000174533,0.4568574,0,0,0,-23.25145,46.30307,-981.1206
480,-0.003630285,0.000139626,0.4568399,0,0,0,-23.15219,46.19332,-986.6245
550,-0.003630285,0.000139626,0.4568225,0,0,0,-23.02232,46.26201,-981.6597
620,-0.003647738,6.98E-05,0.4567527,0,0,0,-31.3655,46.6086,-988.8574
690,-0.003630285,-1.75E-05,0.4567352,0,0,0,-22.65324,46.23258,-981.334
760,-0.003665191,-0.000139626,0.4567177,0,0,0,-31.53651,46.76262,-982.6387
830,-0.003682645,-0.000191986,0.4566829,0,0,0,-23.32413,46.14218,-984.022
900,-0.003647738,-0.00015708,0.4566654,0,0,0,-23.29128,46.29911,-981.0688
970,-0.003682645,-0.00010472,0.4566654,0,0,0,-23.22423,46.23016,-981.1265
1040,-0.003630285,-1.75E-05,0.4566305,0,0,0,-23.21229,46.38783,-986.0664
1110,-0.003647738,-0.00015708,0.4566654,0,0,0,-31.53087,46.67704,-981.3081
1180,-0.003665191,-0.000279253,0.456613,0,0,0,-23.50387,46.2914,-981.1152
1250,-0.003700098,-0.000226893,0.456613,0,0,0,-23.19807,46.23241,-981.1211
1320,-0.003682645,-0.000191986,0.456613,0,0,0,-23.17467,46.22439,-981.1201
1390,-0.003682645,-0.000122173,0.4565781,0,0,0,-23.2461,46.22357,-981.1201
1460,-0.003717551,-0.00015708,0.4566305,0,0,0,-21.82359,46.1664,-981.6343
1530,-0.003682645,-0.000122173,0.4566305,0,0,0,-23.39889,41.29371,-981.1479
1600,-0.003560472,-0.000261799,0.4565956,0,0,0,-28.89894,46.19447,-981.7197
1671,-0.003543018,-0.000261799,0.4565956,0,0,0,-28.06974,46.40943,-980.4561
1741,-0.003228859,-0.000296706,0.4565956,0,0,0,-32.07111,39.36732,-988.9854
1811,-0.003141593,-0.000349066,0.4565781,0,0,0,-23.62939,37.04137,-987.79
1881,-0.003141593,-0.000401426,0.4565607,0,0,0,-30.29084,45.06911,-981.4907
1951,-0.003001966,-0.000541052,0.4565956,0,0,0,-22.04835,46.6767,-981.9316
2021,-0.003054326,-0.000506146,0.456613,0,0,0,-23.33523,46.29256,-981.1016
2091,-0.003036873,-0.000453786,0.4565956,0,0,0,-26.7928,40.85513,-981.3066
2161,-0.003019419,-0.000663225,0.456613,0,0,0,-29.7095,46.47247,-981.1221
2231,-0.003001966,-0.000610865,0.4565956,0,0,0,-29.89331,44.91567,-981.125
2301,-0.003001966,-0.000750492,0.4565956,0,0,0,-33.00323,41.45717,-980.4482
2371,-0.002984513,-0.000733038,0.456613,0,0,0,-23.17819,46.18164,-981.2075
2441,-0.003001966,-0.000663225,0.4565781,0,0,0,-23.74562,45.47712,-981.6758
2511,-0.003019419,-0.000610865,0.4565607,0,0,0,-23.07001,46.14113,-988.8291
