Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),,,Yaw(degrees)
0,0.0543321,0.06024876,0.01033235,0,0,0,-7.727237,45.42241,-981.0996,,,0.592000047
0,0.0543321,0.06024876,0.01033235,0,0,0,-7.727237,45.42241,-981.0996,,,0.592000047
69,0.05436701,0.06012659,0.01033235,0,0,0,-7.788332,45.52873,-981.1001,,,0.592000047
147,0.05429719,0.06005678,0.0103149,0,0,0,-7.510358,52.5877,-980.0332,,,0.591000236
225,0.05422738,0.05998697,0.0103149,0,0,0,-7.892965,46.08474,-981.1309,,,0.591000236
303,0.05427974,0.0598997,0.0103498,0,0,0,-6.403931,45.40759,-981.7339,,,0.592999859
381,0.05431465,0.06000442,0.01036726,0,0,0,-8.445943,45.55214,-980.4229,,,0.594000243
459,0.05436701,0.05991716,0.01038471,0,0,0,-7.854461,45.43731,-987.1982,,,0.595000054
537,0.05434955,0.05979498,0.0103498,0,0,0,-7.704194,48.78582,-985.6221,,,0.592999859
615,0.05438446,0.05969026,0.0103498,0,0,0,-7.904104,45.36856,-981.0718,,,0.592999859
693,0.05443682,0.05956809,0.01036726,0,0,0,-7.968541,45.55192,-980.6821,,,0.594000243
771,0.05438446,0.05962044,0.01036726,0,0,0,-8.865272,46.26046,-981.0967,,,0.594000243
849,0.05441936,0.05955063,0.01040216,0,0,0,-7.043421,52.06065,-981.9419,,,0.595999866
927,0.05441936,0.05948082,0.01036726,0,0,0,-7.878604,45.62245,-981.0825,,,0.594000243
1005,0.05443682,0.05953318,0.0103149,0,0,0,-9.474433,45.56647,-980.8599,,,0.591000236
1083,0.05441936,0.05941101,0.01029744,0,0,0,-7.795581,45.65209,-981.269,,,0.589999852
1163,0.05441936,0.05949827,0.01027999,0,0,0,-0.6889162,45.48369,-981.0977,,,0.58900004
1239,0.05448918,0.05946337,0.01026254,0,0,0,-7.747713,45.47876,-981.1006,,,0.588000229
1322,0.05450663,0.0593761,0.01029744,0,0,0,-7.892986,45.59243,-981.6504,,,0.589999852
1396,0.05448918,0.05923647,0.01029744,0,0,0,-4.403419,48.72977,-979.7573,,,0.589999852
1474,0.05242969,0.05689773,0.01019272,-0.02282339,0.02103303,0,-3.473936,45.2221,-981.0835,,,0.583999838
1551,0.0503353,0.05443682,0.01007055,-0.02653681,0.02391837,0,-7.941882,46.05896,-981.1025,,,0.577000012
1629,0.04845034,0.05227261,0.009948377,-0.025948,0.02395935,0,-8.182953,54.13358,-981.1216,,,0.570000015
1708,0.04654793,0.05012586,0.009843657,-0.02519331,0.0229032,0,-7.883191,45.29293,-986.606,,,0.564000001
1803,0.04433136,0.04752532,0.009721483,-0.02362178,0.02151785,0,-4.644625,45.22579,-988.2949,,,0.556999947
1878,0.04286529,0.04600688,0.009669124,-0.02299005,0.02159359,0,-7.790853,48.05757,-984.8569,,,0.553999997
1956,0.04115487,0.04384267,0.009756391,-0.02161748,0.02065837,0,0,0,0,,,0.559000028
2034,0.03914773,0.04092797,0.009477138,-0.0198723,0.0200575,0,8.721338,62.0047,-996.4529,,,0.543000009
2112,0.03750712,0.03926991,0.009773844,-0.01944689,0.019639,0,-12.83516,47.17981,-971.2817,,,0.560000011
2190,0.03590142,0.0373675,0.00986111,-0.01844266,0.01834017,0,2.318707,51.61707,-986.2109,,,0.564999984
2268,0.03408628,0.03570944,0.009791297,-0.01799247,0.01805194,0,-10.52705,50.11894,-980.2304,,,0.560999994
2346,0.03256784,0.03424336,0.00970403,-0.01721096,0.01685404,0,-3.385884,55.35717,-976.1469,,,0.555999963
2424,0.03160791,0.03326597,0.009738938,-0.01689792,0.01601526,0,-13.88583,49.89801,-985.9316,,,0.558000044
2502,0.03010693,0.03150319,0.009442232,-0.01530093,0.01540417,0,-15.93988,58.80722,-991.1919,,,0.541000043
2580,0.02883284,0.03010693,0.009599311,-0.01451975,0.01420043,0,6.189632,46.94871,-977.6812,,,0.550000007
2658,0.02768092,0.02864085,0.009389871,-0.01442622,0.01446059,0,0.1452159,56.93776,-988.3172,,,0.537999978
2739,0.02680826,0.02736676,0.009424779,-0.0138456,0.01409358,0,-11.3355,49.68759,-983.738,,,0.54000006
2816,0.02560398,0.02637193,0.009337512,-0.01355307,0.01273208,0,-11.51316,53.02407,-980.8563,,,0.535000029
2892,0.0246266,0.02494076,0.009337512,-0.01324831,0.01280691,0,-16.91498,52.7732,-987.8495,,,0.535000029
2970,0.02364921,0.02398082,0.009267699,-0.01244027,0.01182748,0,-25.1752,50.92621,-979.7031,,,0.531000038
3048,0.02256711,0.02298599,0.009128072,-0.01160474,0.0115575,0,6.891795,51.91997,-982.28,,,0.523000001
3126,0.02220059,0.02256711,0.009197885,-0.01155039,0.01206822,0,-25.58843,66.41659,-982.3334,,,0.526999991
3204,0.02055998,0.02099631,0.008918632,-0.009930991,0.01035959,0,16.99355,46.44279,-983.154,,,0.510999973
3283,0.01977458,0.02019346,0.009093165,-0.01026343,0.01006746,0,0.9310268,43.50719,-977.4075,,,0.520999977
3360,0.01904154,0.01822124,0.008744099,-0.009499095,0.009180594,0,-2.082503,48.06581,-966.6806,,,0.500999968
3438,0.01881465,0.01719149,0.009162978,-0.00947198,0.00956694,0,-16.03921,67.92439,-966.6533,,,0.524999967
3516,0.01823869,0.01665044,0.009093165,-0.008234295,0.009082492,0,7.290635,53.94504,-987.6702,,,0.520999977
3594,0.01848304,0.0153589,0.008936086,-0.008120943,0.008900403,0,-8.276188,56.69813,-986.8816,,,0.512000013
3672,0.01886701,0.01389282,0.008988446,-0.008003369,0.009606401,0,-12.29621,55.3325,-983.0665,,,0.51500002
3750,0.01795944,0.01289798,0.008656833,-0.007957427,0.00873775,0,-7.659666,49.56805,-982.2622,,,0.495999995
3828,0.01733112,0.01237438,0.008604473,-0.005952124,0.008551142,0,-3.917295,42.65443,-985.2267,,,0.492999988
3906,0.01719149,0.01083849,0.009093165,-0.005708757,0.008714032,0,-5.192529,57.08249,-969.9891,,,0.520999977
3984,0.01741839,0.00858702,0.01001819,-0.004492831,0.008050662,0,15.03194,56.40435,-1004.067,,,0.574000005
4073,0.01829105,0.006405359,0.01106539,-0.003131991,0.006755401,0,6.938427,39.79742,-1013.967,,,0.634000146
4140,0.01719149,-0.007731808,0.01239184,-3.53E-05,0.008446449,0,-36.10413,71.49497,-1021.4,,,0.710000132
4218,0.01471313,-0.03721042,0.01773255,0.00632643,0.01277276,0,-21.86445,75.8283,-1023.498,,,1.016000275
4298,0.007295476,-0.05888741,0.02591814,0.02017549,0.0051446,0,-19.3096,20.07066,-1090.608,,,1.485000035
4374,0.000122173,-0.05740388,0.02963569,0.02384186,-0.002487727,0,-9.183745,30.47054,-1060.925,,,1.69799996
4452,-0.004537856,-0.05860816,0.03937463,0.03207114,-0.003531107,0,18.60082,56.92988,-1049.604,,,2.256000119
4531,-0.01014036,-0.05281366,0.04808382,0.03093861,-0.002835313,0,21.76976,68.7355,-1037.067,,,2.754999949
4608,-0.0145735,-0.04316199,0.05311037,0.02703018,-0.004570231,0,4.406555,67.61128,-1004.098,,,3.043000049
4687,-0.01303761,-0.03099705,1.784826,0.01955261,-0.004763043,0,-16.45848,62.19659,-984.2274,,,102.262997
4764,-0.01291544,-0.01504474,1.781091,0.0136057,-0.01036096,0,-23.91789,60.66404,-988.5211,,,102.0489972
4842,0.00127409,0.02204351,1.775698,0.02084868,-0.008772588,0,-22.40508,55.27717,-940.1177,,,101.7400011
4920,0.01162389,0.05105088,1.773028,0.003114917,0.000873647,0,-17.73602,71.54214,-779.3839,,,101.5870214
4998,0.02101376,0.07682939,1.771073,0.1973408,-0.06157754,0,-28.54046,71.23256,-853.2949,,,101.4750081
5076,0.02162463,0.1029221,1.767722,0.2736713,-0.07889418,0,-18.13695,66.41515,-884.59,,,101.28301
5154,0.01041962,0.1171116,1.76547,0.2625394,-0.07470009,0,-23.78041,60.00539,-876.7917,,,101.1539799
5233,0.003560472,0.1146158,1.76451,0.1599631,-0.0695532,0,-17.82318,70.21014,-878.1621,,,101.0989759
5311,-0.000855211,0.1019272,1.764825,0.03156811,-0.07141408,0,1.422384,59.471,-902.899,,,101.1170241
5389,-0.01075123,0.08621927,1.76739,-0.03374624,-0.08070794,0,13.2771,51.84924,-909.2702,,,101.2639878
5468,-0.01424189,0.07230899,1.766936,-0.0549843,-0.08731084,0,8.826936,67.80061,-963.6808,,,101.2379755
5545,-0.00699877,0.04324926,1.763742,-0.1184347,-0.08827188,0,0.5107739,47.05553,-964.4886,,,101.0549727
5623,-0.000558505,0.02394592,1.76266,-0.2296485,-0.1060689,0,-5.772839,51.77101,-965.1011,,,100.9929787
5701,0.01000074,0.002356195,1.765156,-0.2926605,-0.06689844,0,2.489648,66.74689,-1052.578,,,101.135989
5781,-0.002286381,-0.01219985,1.772138,-0.3834336,-0.1301716,0,19.87395,39.91212,-1124.972,,,101.5360281
5857,-0.001605703,-0.01062906,1.77774,-0.4649949,-0.224562,0,6.995736,44.30143,-1123.703,,,101.8569991
5937,0.007086037,-0.01021018,1.784582,-0.6158721,-0.4348246,0,15.83323,39.4227,-1179.745,,,102.2490168
6013,0.01282817,-0.006562438,1.793134,-0.8705384,-0.7177258,0,19.41716,27.56349,-1072.256,,,102.7390103
6091,0.01239184,0.000855211,1.799714,-0.9471935,-0.8037002,0,11.33847,45.99181,-1089.06,,,103.1160165
6169,0.02490585,-0.004223697,1.811617,-0.6577389,-0.5708279,0,15.66069,79.03449,-1073.452,,,103.7980082
6248,0.02431244,-0.007766715,1.817586,-0.4599983,-0.3788342,0,-4.509872,81.10072,-1020.587,,,104.1400067
