Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^3),AccY(g x 10^3),AccZ(g x 10^3),Altitude(m),,,,First odometry csv sampled at 200HZ which is 5ms
0,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
0,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
4,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
9,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
14,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
19,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
24,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
29,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
34,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
42,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
47,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
52,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
57,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
62,-0.01047198,0.006335545,0.06174975,0,0,0,0,0,0,0,,,,
69,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
74,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
79,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
84,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
89,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
94,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
99,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
104,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
109,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
114,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
119,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
124,-0.01041962,0.006283185,0.06180211,0,0,0,0,0,0,0,,,,
129,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
134,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
139,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
144,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
149,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
154,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
159,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
164,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
169,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
174,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
179,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
184,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
189,-0.01052434,0.006370452,0.06185447,0,0,0,0,0,0,0,,,,
194,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
199,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
204,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
209,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
214,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
219,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
224,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
229,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
234,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
239,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
244,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
249,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
254,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
259,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
264,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
269,-0.01043707,0.006335545,0.06190683,0,0,0,0,0,0,0,,,,
274,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
279,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
284,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
289,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
294,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
299,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
304,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
310,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
315,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
320,-0.01050688,0.006352998,0.06194174,0,0,0,0,0,0,0,,,,
325,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
330,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
335,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
340,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
345,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
350,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
355,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
360,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
365,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
370,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
375,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
380,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
385,-0.01054179,0.006335545,0.06201155,0,0,0,0,0,0,0,,,,
390,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
395,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
400,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
405,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
410,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
415,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
420,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
425,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
430,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
435,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
440,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
445,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
450,-0.01062906,0.006300638,0.06206391,0,0,0,0,0,0,0,,,,
455,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
460,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
465,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
470,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
475,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
480,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
485,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
490,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
495,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
500,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
505,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
510,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
515,-0.01068141,0.006352998,0.06208136,0,0,0,0,0,0,0,,,,
520,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
525,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
530,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
535,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
540,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
545,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
550,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
555,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
560,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
565,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
570,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
575,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
580,-0.01071632,0.006352998,0.06211627,0,0,0,0,0,0,0,,,,
585,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
590,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
595,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
600,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
605,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
610,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
615,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
620,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
625,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
630,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
635,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
640,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
645,-0.01073377,0.006283185,0.06213372,0,0,0,0,0,0,0,,,,
650,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
655,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
660,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
665,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
670,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
675,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
680,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
685,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
690,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
695,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
701,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
705,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
710,-0.01069887,0.006300638,0.06222099,0,0,0,0,0,0,0,,,,
715,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
720,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
725,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
730,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
735,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
740,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
745,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
750,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
755,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
760,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
765,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
770,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
775,-0.01064651,0.006300638,0.06227335,0,0,0,0,0,0,0,,,,
780,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
785,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
790,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
795,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
800,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
805,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
810,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
815,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
822,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
826,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
831,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
836,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
841,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
846,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
851,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
856,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
861,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
866,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
871,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
876,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
881,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
886,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
891,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
896,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
