Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(cm),,,Stationary test 21/02/2016
0,0.008691739,-0.01500983,0.02871067,0,0,0,-14.38763,33.68228,-996.6426,0,,,
0,0.008691739,-0.01500983,0.02871067,0,0,0,-14.38763,33.68228,-996.6426,0,,,
64,0.008691739,-0.01485275,0.02872812,0,0,0,-8.262856,37.53519,-997.3672,0,,,
129,0.008656833,-0.01471313,0.02874557,0,0,0,-7.930552,37.45849,-994.7954,0,,,
194,0.008709193,-0.01452114,0.02878048,0,0,0,-7.989955,38.7092,-996.8032,0,,,
259,0.008709193,-0.01443387,0.02878048,0,0,0,-6.655934,37.24221,-996.6274,0,,,
324,0.008691739,-0.01432915,0.02876303,0,0,0,-16.31787,37.81539,-996.6504,0,,,
389,0.008656833,-0.01432915,0.02878048,0,0,0,-9.740558,37.61738,-991.6973,0,,,
454,0.008639379,-0.0143117,0.02881539,0,0,0,-7.35743,36.81946,-1005.244,0,,,
519,0.008656833,-0.01408481,0.02885029,0,0,0,-8.081779,37.3242,-1004.433,0,,,
584,0.008621926,-0.01392773,0.02885029,0,0,0,-8.02241,37.31175,-997.4023,0,,,
649,0.00858702,-0.0137881,0.02885029,0,0,0,-7.986119,37.25274,-1003.436,0,,,
714,0.008552114,-0.01364847,0.02890265,0,0,0,-8.222933,37.46241,-988.4893,0,,,
779,0.008621926,-0.01366593,0.0289201,0,0,0,-12.34984,38.05761,-996.5493,0,,,
844,0.008656833,-0.0135263,0.02890265,0,0,0,-10.13624,28.32239,-996.6294,0,,,
909,0.008709193,-0.01347394,0.02890265,0,0,0,-7.018584,37.78159,-996.6377,0,,,
974,0.008691739,-0.01335177,0.0289201,0,0,0,-9.973796,37.4906,-996.6421,0,,,
1039,0.008674286,-0.01342158,0.02890265,0,0,0,-15.07065,37.88841,-991.8306,0,,,
1104,0.008656833,-0.01338668,0.0289201,0,0,0,-5.758274,37.30871,-996.8037,0,,,
1169,0.008674286,-0.01329941,0.0289201,0,0,0,-11.53974,29.03771,-996.6304,0,,,
1234,0.008744099,-0.01333432,0.02893756,0,0,0,-8.182035,33.14204,-1002.321,0,,,
1299,0.008796459,-0.01315978,0.02895501,0,0,0,-8.065454,37.51827,-1002.308,0,,,
1364,0.008970993,-0.01303761,0.02897247,0,0,0,-8.436126,28.40422,-996.4468,0,,,
1429,0.009110619,-0.01291544,0.02902482,0,0,0,-8.314093,29.73039,-995.6802,0,,,
1494,0.009093165,-0.01275836,0.02898992,0,0,0,0,0,0,0,,,
1559,0.009058258,-0.01261873,0.02900737,0,0,0,-8.28348,37.51319,-991.564,0,,,
1624,0.009023353,-0.01254892,0.02898992,0,0,0,-8.184904,37.40241,-996.4673,0,,,
1689,0.009005899,-0.01239184,0.02900737,0,0,0,-7.870635,37.28128,-1001.64,0,,,
1755,0.009005899,-0.01232202,0.02905973,0,0,0,-8.109641,37.47396,-997.6621,0,,,
1819,0.009145525,-0.01228712,0.02907719,0,0,0,-13.60022,29.19376,-997.3301,0,,,
1884,0.009215338,-0.01235693,0.02907719,0,0,0,-6.33247,35.33598,-998.6558,0,,,
1949,0.009232791,-0.01226966,0.02911209,0,0,0,-8.102242,37.429,-995.8721,0,,,
2014,0.009232791,-0.01235693,0.02911209,0,0,0,-15.63615,36.82819,-1001.367,0,,,
2079,0.009197885,-0.01235693,0.02909464,0,0,0,-10.38663,33.94604,-1003.251,0,,,
2144,0.009354965,-0.01225221,0.02905973,0,0,0,-8.069766,38.46672,-996.7959,0,,,
2209,0.009424779,-0.0121824,0.02909464,0,0,0,-8.386936,30.32775,-996.6235,0,,,
2274,0.009529497,-0.01213004,0.02911209,0,0,0,-8.187586,35.08176,-996.0107,0,,,
2339,0.009477138,-0.01206023,0.02912955,0,0,0,-8.078434,37.43403,-996.6592,0,,,
2404,0.009424779,-0.01199041,0.02911209,0,0,0,-7.959763,37.34385,-998.4907,0,,,
2469,0.009389871,-0.01197296,0.02911209,0,0,0,-7.21849,37.18701,-997.7466,0,,,
2534,0.009424779,-0.01193805,0.02912955,0,0,0,-8.268136,35.51582,-996.6436,0,,,
2599,0.009459685,-0.01186824,0.02918191,0,0,0,-8.108167,37.6105,-995.6294,0,,,
2664,0.009389871,-0.01179843,0.02918191,0,0,0,-8.054973,37.38703,-997.9399,0,,,
2729,0.009320058,-0.01172861,0.02916445,0,0,0,-8.050171,37.21158,-1004.944,0,,,
2794,0.009354965,-0.01169371,0.029147,0,0,0,-8.054113,38.95745,-996.6064,0,,,
2859,0.009320058,-0.01162389,0.02918191,0,0,0,-8.167719,37.42488,-996.6411,0,,,
2924,0.009337512,-0.01158899,0.02918191,0,0,0,-8.480345,30.59413,-996.6235,0,,,
2989,0.009581858,-0.01153663,0.02916445,0,0,0,-8.441642,30.39084,-996.6235,0,,,
3054,0.009721483,-0.01146681,0.029147,0,0,0,-8.394824,29.18653,-996.6211,0,,,
3119,0.009756391,-0.01143191,0.029147,0,0,0,-8.111732,37.08624,-998.1499,0,,,
3184,0.009896017,-0.01134464,0.029147,0,0,0,-8.131256,38.26797,-996.2178,0,,,
3249,0.009843657,-0.01141445,0.02916445,0,0,0,-8.219255,37.31988,-996.7051,0,,,
3314,0.009826204,-0.01137955,0.02919936,0,0,0,-8.150839,35.90759,-996.6372,0,,,
3379,0.009826204,-0.01127483,0.02921681,0,0,0,0.2962471,37.77687,-998.8105,0,,,
3444,0.009791297,-0.01111775,0.02921681,0,0,0,-7.689317,35.86489,-996.623,0,,,
3509,0.009983283,-0.01108284,0.02923426,0,0,0,-8.267065,30.53457,-996.877,0,,,
3574,0.01021018,-0.01101303,0.02923426,0,0,0,-8.450433,29.56116,-997.207,0,,,
3639,0.01040216,-0.01099557,0.02923426,0,0,0,-8.351523,29.51179,-1002.428,0,,,
3704,0.01064651,-0.01096067,0.02921681,0,0,0,-8.327794,29.56492,-996.3618,0,,,
3769,0.01083849,-0.01094321,0.02923426,0,0,0,-8.405064,29.62368,-996.6191,0,,,
3834,0.01090831,-0.01083849,0.02923426,0,0,0,-8.378758,30.49704,-998.0698,0,,,
3899,0.01101303,-0.01078613,0.02923426,0,0,0,-8.230804,33.13336,-996.6367,0,,,
3964,0.01096067,-0.01075123,0.02925172,0,0,0,-8.366518,31.70803,-996.6206,0,,,
4029,0.01089085,-0.01064651,0.02925172,0,0,0,-3.174607,37.0514,-996.6338,0,,,
4094,0.01078613,-0.01059415,0.02926917,0,0,0,-8.262102,37.47529,-996.6392,0,,,
4159,0.01071632,-0.01052434,0.02926917,0,0,0,-6.540261,37.41864,-996.6382,0,,,
4225,0.01066396,-0.01045452,0.02926917,0,0,0,-8.23121,37.40219,-995.2954,0,,,
4289,0.0105767,-0.01043707,0.02928662,0,0,0,-8.107179,35.8042,-996.6206,0,,,
4354,0.01062906,-0.01041962,0.02930408,0,0,0,-8.12023,36.82572,-996.6357,0,,,
4419,0.0105767,-0.01022763,0.02930408,0,0,0,-0.7350787,37.00579,-996.8569,0,,,
4484,0.01050688,-0.01001819,0.02930408,0,0,0,-4.193367,37.23124,-996.6221,0,,,
4549,0.01040216,-0.009948377,0.02928662,0,0,0,-7.953211,37.40057,-996.6411,0,,,
4614,0.01029744,-0.009930924,0.02928662,0,0,0,-8.088486,37.36181,-996.6396,0,,,
4679,0.01019272,-0.009896017,0.02930408,0,0,0,-8.104473,37.41425,-996.6387,0,,,
4744,0.01017527,-0.00970403,0.02932153,0,0,0,-7.5463,37.40968,-996.6382,0,,,
4809,0.01012291,-0.009669124,0.02932153,0,0,0,-6.659155,37.33459,-996.6382,0,,,
4874,0.010088,-0.009477138,0.02932153,0,0,0,-8.888419,37.503,-996.8594,0,,,
4939,0.01003564,-0.009320058,0.02928662,0,0,0,-0.6134504,35.4839,-997.3086,0,,,
5004,0.00996583,-0.009145525,0.02928662,0,0,0,-7.368267,37.19715,-997.5425,0,,,
5069,0.01000074,-0.009075711,0.02925172,0,0,0,-3.273692,34.18649,-1000.809,0,,,
