Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,,Short flight 21/02/2017
0,0.007784169,-0.00965167,0.0599346,0,0,0,-8.049084,37.45188,-993.0366,0,,,
0,0.007784169,-0.00965167,0.0599346,0,0,0,-8.049084,37.45188,-993.0366,0,,,
64,0.007801622,-0.00965167,0.05996951,0,0,0,-8.106401,37.40424,-994.5376,0,,,
131,0.007784169,-0.00970403,0.05996951,0,0,0,-8.058964,37.40722,-996.6152,0,,,
196,0.007784169,-0.00970403,0.05998697,0,0,0,-8.147918,37.33821,-996.6304,0,,,
261,0.007784169,-0.009721483,0.06003933,0,0,0,-8.139198,37.48793,-993.6045,0,,,
326,0.007801622,-0.009756391,0.06009169,0,0,0,-8.077064,37.4285,-997.019,0,,,
391,0.007819075,-0.009756391,0.06014405,0,0,0,-8.078687,37.32733,-995.4956,0,,,
456,0.007906342,-0.009756391,0.0601615,0,0,0,-8.032139,38.41385,-995.168,0,,,
522,0.007923795,-0.009791297,0.06023131,0,0,0,-8.042199,37.40251,-996.4668,0,,,
586,0.008080875,-0.009791297,0.06030113,0,0,0,-8.523968,30.68816,-989.3618,0,,,
651,0.008063422,-0.009773844,0.06035348,0,0,0,-7.587937,37.55171,-987.4985,0,,,
717,0.008028515,-0.00980875,0.0604233,0,0,0,-8.163076,37.48076,-990.106,0,,,
781,0.008011061,-0.009826204,0.06051056,0,0,0,-7.982413,37.60411,-988.8433,0,,,
847,0.007976155,-0.00980875,0.06054547,0,0,0,-8.134562,37.3695,-997.7578,0,,,
911,0.007993608,-0.009791297,0.06058038,0,0,0,-8.063652,37.61233,-989.4688,0,,,
977,0.007714355,-0.009320058,0.06058038,0.003676573,0.003005453,0,-8.027754,37.46159,-997.1646,0,,,
1042,0.007487462,-0.008936086,0.06058038,0.004213348,0.00347426,0,-8.186706,37.44603,-996.582,0,,,
1107,0.00726057,-0.008552114,0.06065019,0.004209393,0.003513676,0,-8.112043,37.3385,-996.6377,0,,,
1172,0.007016224,-0.008098328,0.06070255,0.004033493,0.003452766,0,-8.149989,37.5926,-988.8555,0,,,
1236,0.006824237,-0.007749262,0.06073746,0.003878043,0.003346924,0,-8.036192,37.37816,-995.2261,0,,,
1302,0.006579891,-0.007347836,0.06078982,0.003669141,0.003243726,0,-8.111536,37.49275,-992.9375,0,,,
1366,0.006405359,-0.007016224,0.06084218,0.003552248,0.003149676,0,-6.638453,37.49382,-991.4707,0,,,
1433,0.006300638,-0.006562438,0.06084218,0.003836604,0.002899139,0,-1.780313,37.82568,-995.228,0,,,
1497,0.006021386,-0.005986479,0.06099926,0.004276531,0.003085378,0,-3.380359,34.1523,-990.4189,0,,,
1563,0.00588176,-0.00546288,0.06089454,0.004276847,0.003291521,0,-10.51885,44.803,-992.9794,0,,,
1627,0.00561996,-0.005009095,0.06085963,0.00364953,0.00356756,0,2.654177,45.64286,-999.5269,0,,,
1692,0.005480334,-0.004660029,0.06085963,0.003068919,0.002679631,0,-9.681596,34.18053,-994.3843,0,,,
1757,0.005427974,-0.00439823,0.06092944,0.002504598,0.002425173,0,-5.381194,37.21551,-990.7563,0,,,
1822,0.005288348,-0.004118977,0.06096435,0.002133347,0.002499794,0,-6.190836,42.46757,-990.5732,0,,,
1887,0.005096362,-0.003926991,0.06099926,0.001834321,0.002592844,0,-7.702874,25.68682,-990.8354,0,,,
1953,0.005044002,-0.003735005,0.06113888,0.001384087,0.002511659,0,-7.076021,31.58136,-989.6602,0,,,
2017,0.004956735,-0.003735005,0.06108652,0.001418125,0.002764165,0,-3.42582,31.63377,-995.2865,0,,,
2082,0.004799656,-0.003996804,0.06108652,0.001527819,0.00213627,0,-5.306633,21.66623,-997.2178,0,,,
2147,0.004433136,-0.004101524,0.06099926,0.001567759,0.002202629,0,-7.631701,38.31575,-992.8973,0,,,
2213,0.004450589,-0.003351032,0.06127851,0.002463852,0.002321411,0,2.858573,20.30746,-988.5136,0,,,
2279,0.004101524,-0.003298672,0.06122615,0.001697061,0.002040435,0,-13.84642,40.82717,-990.6021,0,,,
2343,0.004258603,-0.00296706,0.0614705,0.001884639,0.002904295,0,-7.780981,49.78775,-995.4057,0,,,
2408,0.003822271,-0.002897247,0.06096435,0.001642534,0.002384452,0,-3.300644,37.31955,-999.5459,0,,,
2474,0.003996804,-0.002513274,0.06183701,0.001288271,0.002306393,0,-9.736049,45.63098,-991.4101,0,,,
2539,0.003735005,-0.002460914,0.06145304,0.001223924,0.001978281,0,-1.725215,33.22174,-992.7505,0,,,
2604,0.003769911,-0.002181662,0.06155776,0.001818188,0.003032806,0,5.958555,63.73762,-997.0708,0,,,
2669,0.003298672,-0.002094395,0.06148795,0.001390341,0.002335081,0,0.1304871,45.74874,-994.3555,0,,,
2734,0.003263766,-0.001466077,0.06181956,0.001177686,0.002192004,0,-24.16668,44.14246,-983.3061,0,,,
2799,0.003368485,-0.002129302,0.06185447,0.001007729,0.000963456,0,9.833086,25.72747,-1009.422,0,,,
2864,0.00296706,-0.001518436,0.06197665,0.001421549,0.001950109,0,-21.38865,46.61674,-971.1127,0,,,
2929,0.00280998,-0.00137881,0.06169739,0.001462654,0.000949331,0,-3.114889,42.3484,-991.9072,0,,,
2994,0.00286234,-0.001745329,0.06161012,0.00033457,0.001376196,0,-3.933569,29.11656,-999.9824,0,,,
3059,0.00270526,-0.00137881,0.062029,0.000969886,0.00169086,0,1.987712,48.58543,-999.0761,0,,,
3124,0.002879793,-0.001745329,0.0622908,0.000211871,0.001324099,0,-6.592216,44.14019,-992.2465,0,,,
3189,0.002687807,-0.001466077,0.06258751,0.000821495,0.000326524,0,-3.842786,32.56775,-996.7913,0,,,
3254,0.00312414,-0.000925025,0.0630762,0.001859218,0.0014027,0,9.846688,42.12231,-996.3078,0,,,
3319,0.003438299,-0.001396263,0.06316347,0.000619077,0.001424868,0,4.413989,37.87223,-995.5871,0,,,
3384,0.003769911,-0.001727876,0.06377433,0.000808564,0.001428879,0,-6.568764,32.69469,-997.1962,0,,,
