Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
0,-0.002844887,-0.03118903,0.01090831,0,0,0,-30.83898,46.28033,-988.9648,0,,
0,-0.002844887,-0.03118903,0.01090831,0,0,0,-30.83898,46.28033,-988.9648,0,,
64,-0.002879793,-0.03113667,0.01096067,0,0,0,-22.78972,46.13551,-989.5557,0,,
142,-0.002932153,-0.0312763,0.01099557,0,0,0,-30.75677,48.12243,-983.856,0,,
220,-0.003019419,-0.03141592,0.01103048,0,0,0,-30.21365,46.81252,-988.5186,0,,
298,-0.00280998,-0.03138102,0.01101303,0,0,0,-23.54511,43.30214,-989.0581,0,,
376,-0.002827433,-0.03143338,0.01097812,0,0,0,-30.7089,46.555,-989.2671,0,,
454,-0.002775073,-0.03143338,0.01097812,0,0,0,-31.49021,46.57168,-983.8486,0,,
532,-0.002775073,-0.03159046,0.01104793,0,0,0,-30.93585,46.66113,-988.3013,0,,
610,-0.002792527,-0.03173009,0.01104793,0,0,0,-29.47926,46.59356,-988.897,0,,
688,-0.002792527,-0.03164282,0.01110029,0,0,0,-31.51235,46.48687,-989.7354,0,,
766,-0.00286234,-0.03178244,0.01111775,0,0,0,-30.9869,46.66952,-980.5029,0,,
844,-0.002879793,-0.03164282,0.0111352,0,0,0,-27.97701,46.43543,-988.8022,0,,
922,-0.002897247,-0.03157301,0.01120501,0,0,0,-26.03517,46.37724,-988.8916,0,,
1000,-0.00296706,-0.03157301,0.01123992,0,0,0,-31.16854,46.42078,-987.8237,0,,
1078,-0.00296706,-0.0315381,0.01125737,0,0,0,-22.68583,46.01275,-988.9199,0,,
1156,-0.002932153,-0.03145083,0.01130973,0,0,0,-28.79484,42.88022,-988.895,0,,
1234,-0.00286234,-0.03136357,0.01134464,0,0,0,-22.93079,46.06437,-983.2798,0,,
1312,-0.002879793,-0.03132866,0.01136209,0,0,0,-30.61232,46.50379,-989.1118,0,,
1390,-0.0029147,-0.03141592,0.01143191,0,0,0,-30.79463,45.87434,-987.3896,0,,
1468,-0.0029147,-0.03143338,0.01141445,0,0,0,-25.16198,46.22535,-988.6211,0,,
1546,-0.0029147,-0.03134611,0.01146681,0,0,0,-25.05771,46.27105,-981.9961,0,,
1624,-0.00296706,-0.03146829,0.01146681,0,0,0,-29.45067,46.38634,-990.584,0,,
1702,-0.002949606,-0.03143338,0.01148427,0,0,0,-32.9185,46.67569,-986.0747,0,,
1780,-0.002984513,-0.0315381,0.01150172,0,0,0,-27.50875,46.41649,-988.5181,0,,
1858,-0.002949606,-0.03132866,0.01148427,0,0,0,-23.21672,45.92431,-981.8887,0,,
1936,-0.003019419,-0.03115413,0.01153663,0,0,0,-24.74212,46.28204,-989.0322,0,,
2014,1.75E-05,3.49E-05,0.01155408,0,0,0,-23.14616,46.1119,-988.9004,0,,
2092,1.75E-05,3.49E-05,0.01151917,0,0,0,-32.02164,46.68768,-988.3613,0,,
2170,5.24E-05,1.75E-05,0.01155408,0,0,0,-23.10888,46.29745,-988.9189,0,,
2248,8.73E-05,0,0.01158899,0,0,0,-31.8948,45.79373,-988.9077,0,,
2326,0.000226893,-0.00015708,0.0116588,0,0,0,-22.55124,46.24653,-988.8989,0,,
2404,0.000279253,-0.000314159,0.01171116,0,0,0,-22.57514,40.47877,-988.8843,0,,
2482,0.000261799,-0.000174533,0.01172861,0,0,0,-26.45384,46.30557,-988.106,0,,
2560,0.000244346,-0.000174533,0.01174607,0,0,0,-26.17042,46.44712,-988.8521,0,,
2638,0.000226893,-0.000244346,0.01174607,0,0,0,-29.98118,46.69447,-980.6738,0,,
2716,0.000191986,-0.000191986,0.01176352,0,0,0,-22.99844,46.13456,-989.3369,0,,
2794,0.000226893,-0.000296706,0.01179843,0,0,0,-31.06874,46.52571,-988.9126,0,,
2872,0.000226893,-0.000471239,0.01176352,0,0,0,-25.08581,46.271,-989.2324,0,,
2950,0.000279253,-0.000541052,0.01178097,0,0,0,-28.09474,44.27682,-988.9038,0,,
3028,0.000279253,-0.000436332,0.01181588,0,0,0,-23.10823,46.29028,-987.481,0,,
3106,0.000296706,-0.000541052,0.01185079,0,0,0,-30.09699,46.82601,-990.7827,0,,
3185,0.000261799,-0.000733038,0.01186824,0,0,0,-27.36718,46.02451,-985.23,0,,
3263,0.000331613,-0.000802852,0.01190315,0,0,0,-21.96425,46.52668,-988.9209,0,,
3341,0.000261799,-0.000925025,0.0119206,0,0,0,-30.43405,46.5038,-988.9082,0,,
3419,0.000261799,-0.000837758,0.01195551,0,0,0,-23.27361,46.32217,-982.0947,0,,
3497,0.000244346,-0.000872665,0.01197296,0,0,0,-22.55309,46.14741,-984.5405,0,,
3575,0.000226893,-0.000890118,0.01199041,0,0,0,-30.12888,46.53076,-988.8462,0,,
3653,0.000226893,-0.000959931,0.01206023,0,0,0,-29.88094,46.54118,-988.876,0,,
3733,0.00020944,-0.000942478,0.01207768,0,0,0,-23.51368,46.25294,-984.0112,0,,
3809,0.00020944,-0.000837758,0.01211258,0,0,0,-23.16399,46.0863,-988.8599,0,,
