Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^-3),AccY(g x 10^-3),AccZ(g x 10^-3),Altitude(m)
0,0.0001570796,0.0002792527,0.004118977,0,0,0,-0.7952527,33.12626,-981.1855,0,
0,0.0001570796,0.0002792527,0.004118977,0,0,0,-0.7952527,33.12626,-981.1855,0
4,0.0001570796,0.0002792527,0.004118977,0,0,0,-0.7952527,33.12626,-981.1855,0
9,0.0001570796,0.0002617994,0.004101524,0,0,0,-0.6934984,34.74422,-983.5938,0
14,0.0001570796,0.0002617994,0.004101524,0,0,0,-0.6934984,34.74422,-983.5938,0
19,0.0001570796,0.0002792527,0.004101524,0,0,0,-0.7367905,31.86896,-982.0713,0
24,0.0001570796,0.0002792527,0.004101524,0,0,0,-0.8546689,28.20063,-981.145,0
29,0.0001570796,0.000296706,0.004101524,0,0,0,-0.8202423,28.57073,-980.9775,0
34,0.0001745329,0.000296706,0.00408407,0,0,0,-0.8670982,28.08411,-979.8613,0
39,0.0001745329,0.000296706,0.00408407,0,0,0,-0.7826356,30.81482,-981.707,0
44,0.0001919862,0.000296706,0.00408407,0,0,0,-0.8817303,29.91987,-980.7349,0
49,0.0001919862,0.000296706,0.004101524,0,0,0,-0.9184718,29.66806,-981.6919,0
54,0.0001919862,0.000296706,0.004101524,0,0,0,-0.950617,29.12806,-980.8257,0
59,0.0002094395,0.000296706,0.004101524,0,0,0,-0.9343362,28.97391,-980.8325,0
64,0.0002094395,0.000296706,0.004101524,0,0,0,-0.8720652,29.63492,-981.209,0
69,0.0002094395,0.000296706,0.004101524,0,0,0,-0.8540018,29.47024,-980.8945,0
74,0.0002094395,0.0002792527,0.004101524,0,0,0,-0.826177,29.49797,-981.2515,0
79,0.0002268928,0.0002792527,0.004101524,0,0,0,-0.8081197,29.38955,-981.0146,0
84,0.0002268928,0.0002792527,0.004101524,0,0,0,-0.7870598,29.26714,-980.9839,0
89,0.0002268928,0.0002792527,0.004101524,0,0,0,-0.7541344,29.47889,-981.1172,0
94,0.0002268928,0.0002792527,0.004101524,0,0,0,-0.7458683,29.42772,-980.9785,0
99,0.0002443461,0.0002792527,0.004118977,0,0,0,-0.7465378,29.47372,-981.1182,0
104,0.0002443461,0.0002792527,0.004118977,0,0,0,-0.7668171,29.46034,-981.0454,0
109,0.0002443461,0.0002792527,0.004118977,0,0,0,-0.7668171,29.46034,-981.0454,0
114,0.0002443461,0.0002792527,0.004118977,0,0,0,-0.8009771,29.40749,-981.0313,0
119,0.0002443461,0.0002792527,0.004118977,0,0,0,-0.8806407,29.46305,-981.0234,0
124,0.0002443461,0.0002792527,0.004118977,0,0,0,-0.9162014,29.48203,-981.0737,0
129,0.0002443461,0.0002792527,0.004101524,0,0,0,-0.9432217,29.46697,-981.0527,0
134,0.0002443461,0.000296706,0.004101524,0,0,0,-0.9590349,29.41368,-981.0449,0
139,0.0002443461,0.000296706,0.004101524,0,0,0,-0.9590349,29.41368,-981.0449,0
144,0.0002617994,0.000296706,0.004101524,0,0,0,-0.9568884,29.37915,-981.043,0
149,0.0002443461,0.000296706,0.004101524,0,0,0,-0.9455465,29.39481,-981.0591,0
154,0.0002443461,0.000296706,0.004101524,0,0,0,-0.9296777,29.41974,-981.0547,0
159,0.0002443461,0.000296706,0.004101524,0,0,0,-0.9074399,29.43092,-981.0498,0
164,0.0002617994,0.0002792527,0.004101524,0,0,0,-0.8752204,29.44644,-981.0586,0
169,0.0002617994,0.0002792527,0.004101524,0,0,0,-0.8353618,29.44387,-981.0498,0
174,0.0002792527,0.0002792527,0.00408407,0,0,0,-0.7931347,29.45377,-981.0547,0
179,0.0002792527,0.0002792527,0.004101524,0,0,0,-0.7587627,29.47593,-981.0547,0
184,0.0002792527,0.0002792527,0.004101524,0,0,0,-0.741325,29.50208,-981.0522,0
189,0.000296706,0.0002792527,0.004101524,0,0,0,-0.7452794,29.53301,-981.0552,0
194,0.000296706,0.0002792527,0.004101524,0,0,0,-0.7710493,29.55055,-981.0532,0
199,0.0003141593,0.0002792527,0.004101524,0,0,0,-0.8131471,29.55917,-981.0522,0
204,0.0003141593,0.0002792527,0.004101524,0,0,0,-0.8615856,29.55609,-981.0562,0
209,0.0003141593,0.0002792527,0.004101524,0,0,0,-0.9028262,29.53753,-981.0522,0
214,0.0003141593,0.0002792527,0.004101524,0,0,0,-0.9244897,29.50732,-981.0547,0
219,0.0003141593,0.0002792527,0.004101524,0,0,0,-0.9244897,29.50732,-981.0547,0
224,0.0003141593,0.0002792527,0.004101524,0,0,0,-0.90183,29.42445,-981.0537,0
229,0.0003141593,0.0002792527,0.004118977,0,0,0,0.6821495,30.84525,-981.0562,0
234,0.0003141593,0.0002792527,0.004118977,0,0,0,1.119932,32.6861,-981.0586,0
239,0.000296706,0.000296706,0.004101524,0,0,0,2.84207,36.08097,-981.0664,0
244,0.0002792527,0.000296706,0.004101524,0,0,0,1.130317,37.82778,-981.0718,0
249,0.0002443461,0.000296706,0.004101524,0,0,0,0.09075715,38.45134,-981.0737,0
254,0.0002268928,0.000296706,0.004101524,0,0,0,-1.143668,37.84517,-981.0752,0
259,0.0002094395,0.000296706,0.004101524,0,0,0,-1.882349,35.05075,-981.0674,0
264,0.0001919862,0.0003141593,0.004101524,0,0,0,-0.05501834,33.7127,-981.0645,0
269,0.0001919862,0.0003141593,0.004101524,0,0,0,-1.049196,30.07116,-981.0542,0
274,0.0002094395,0.0003141593,0.004101524,0,0,0,-0.07808238,29.20642,-981.0537,0
279,0.0002268928,0.0003141593,0.004101524,0,0,0,-1.315031,28.33729,-981.0508,0
284,0.0002268928,0.0003141593,0.004101524,0,0,0,-1.107024,30.30582,-981.0562,0
289,0.0002268928,0.0003141593,0.004101524,0,0,0,-0.677209,32.08603,-981.0605,0
294,0.0002268928,0.0003141593,0.004101524,0,0,0,-0.677209,32.08603,-981.0605,0
299,0.0002094395,0.000296706,0.004101524,0,0,0,-0.385632,35.03671,-979.5542,0
304,0.0001919862,0.000296706,0.004101524,0,0,0,-0.6297649,36.55376,-979.2148,0
309,0.0001745329,0.000296706,0.004101524,0,0,0,-0.5638936,37.31091,-977.6338,0
314,0.0001570796,0.000296706,0.004101524,0,0,0,-0.4013053,37.47956,-979.4429,0
319,0.0001570796,0.000296706,0.004101524,0,0,0,-0.4013053,37.47956,-979.4429,0
324,0.000122173,0.0003141593,0.004101524,0,0,0,-0.3924685,36.52335,-981.7417,0
329,0.0001047198,0.0003141593,0.004101524,0,0,0,-0.4629974,37.86493,-982.3672,0
334,8.726646E-05,0.0003141593,0.004101524,0,0,0,-0.6367564,34.98832,-980.4458,0
339,8.726646E-05,0.0003141593,0.004101524,0,0,0,-0.6673306,34.14548,-981.2759,0
344,8.726646E-05,0.0003141593,0.004101524,0,0,0,-0.6673306,34.14548,-981.2759,0
349,8.726646E-05,0.0003141593,0.00408407,0,0,0,-0.9260839,30.59596,-980.23,0
354,8.726646E-05,0.0003141593,0.00408407,0,0,0,-0.9260839,30.59596,-980.23,0
359,0.0001047198,0.000296706,0.00408407,0,0,0,-0.9610577,28.65001,-980.9248,0
367,0.0001047198,0.0003141593,0.00408407,0,0,0,-0.8234457,30.27028,-981.2119,0
372,0.000122173,0.0003141593,0.00408407,0,0,0,-0.8314667,29.66487,-980.7881,0
378,0.000122173,0.0003141593,0.004066617,0,0,0,0,0,0,0
397,8.726646E-05,0.0003141593,0.004066617,0,0,0,-0.8051534,31.71696,-980.9741,0
402,0.0001047198,0.0003141593,0.004066617,0,0,0,-0.8994881,29.48136,-981.0723,0
409,0.0001047198,0.0003141593,0.004066617,0,0,0,-0.9850444,27.4134,-981.0674,0
414,0.000122173,0.0003141593,0.00408407,0,0,0,-0.8390662,29.86797,-981.0894,0
419,0.000122173,0.0003141593,0.00408407,0,0,0,-0.7477224,31.53878,-981.0313,0
424,0.000122173,0.0003141593,0.00408407,0,0,0,-0.7477224,31.53878,-981.0313,0
429,0.0001047198,0.0003316125,0.00408407,0,0,0,-0.6266579,33.78957,-981.0708,0
434,0.0001047198,0.0003316125,0.00408407,0,0,0,-0.6187156,34.34321,-981.0552,0
439,8.726646E-05,0.0003316125,0.00408407,0,0,0,-0.6063036,35.31298,-981.0801,0
444,8.726646E-05,0.0003316125,0.00408407,0,0,0,-0.6960828,33.98701,-981.0557,0
449,8.726646E-05,0.0003316125,0.00408407,0,0,0,-0.859822,30.57039,-981.0581,0
454,0.0001047198,0.0003316125,0.00408407,0,0,0,-0.8939456,29.85148,-981.0576,0
459,0.000122173,0.0003316125,0.00408407,0,0,0,-0.9933077,27.30259,-981.0435,0
464,0.000122173,0.0003316125,0.004066617,0,0,0,-0.8819538,29.6549,-981.0601,0
469,0.000122173,0.0003316125,0.004066617,0,0,0,-0.8771812,29.5675,-981.0493,0
474,0.000122173,0.0003316125,0.004066617,0,0,0,-0.8495741,29.97523,-981.0566,0
479,0.000122173,0.0003316125,0.004066617,0,0,0,-0.8307466,30.04331,-981.0552,0
484,0.0001396263,0.0003316125,0.004066617,0,0,0,-0.8651505,28.70342,-981.0503,0
489,0.0001396263,0.0003316125,0.004066617,0,0,0,-0.8651505,28.70342,-981.0503,0
494,0.0001396263,0.0003316125,0.00408407,0,0,0,-0.8047957,29.28963,-981.0522,0
499,0.0001396263,0.0003316125,0.00408407,0,0,0,-0.8047957,29.28963,-981.0522,0
504,0.0001570796,0.0003316125,0.00408407,0,0,0,-0.7973726,29.6305,-981.0552,0
509,0.0001570796,0.0003316125,0.004101524,0,0,0,-0.8316353,29.18603,-981.0522,0
514,0.0001570796,0.0003316125,0.004101524,0,0,0,-0.8380046,29.49796,-981.0542,0
519,0.0001570796,0.0003316125,0.004101524,0,0,0,-0.8380046,29.49796,-981.0542,0
524,0.0001570796,0.0003316125,0.004101524,0,0,0,-0.8648374,29.37792,-981.0537,0
529,0.0001745329,0.0003316125,0.004101524,0,0,0,-0.8893687,29.52885,-981.0537,0
534,0.0001745329,0.0003316125,0.004118977,0,0,0,-0.896104,29.37009,-981.0542,0
539,0.0001919862,0.0003316125,0.004118977,0,0,0,-0.8818065,29.48366,-981.0537,0
544,0.0001919862,0.0003316125,0.004118977,0,0,0,-0.8718957,29.44273,-981.0532,0
549,0.0001919862,0.0003316125,0.004118977,0,0,0,-0.8718957,29.44273,-981.0532,0
554,0.0002094395,0.0003316125,0.004118977,0,0,0,-0.8623935,29.53118,-981.0532,0
559,0.0002094395,0.0003316125,0.004136431,0,0,0,-0.867781,29.48456,-981.0542,0
564,0.0002094395,0.0003316125,0.004136431,0,0,0,-0.867781,29.48456,-981.0542,0
569,0.0002094395,0.0003316125,0.004136431,0,0,0,-0.8651763,29.52234,-981.0537,0
574,0.0002094395,0.0003316125,0.004136431,0,0,0,-0.8701273,29.51291,-979.541,0
579,0.0002094395,0.0003490658,0.004136431,0,0,0,-0.8953412,29.56861,-974.248,0
584,0.0002268928,0.0003490658,0.004136431,0,0,0,-0.9031604,29.52692,-974.1309,0
589,0.0002094395,0.0003490658,0.004136431,0,0,0,-0.9079937,29.50909,-975.4365,0
594,0.0002094395,0.0003490658,0.004153884,0,0,0,-0.8310572,30.95551,-979.5508,0
599,0.0002094395,0.0003490658,0.004153884,0,0,0,-0.8310572,30.95551,-979.5508,0
604,0.0001919862,0.0003316125,0.004153884,0,0,0,-0.6764069,34.38973,-982.4102,0
609,0.0001919862,0.0003316125,0.004136431,0,0,0,-0.7274532,32.91185,-981.9458,0
614,0.0001919862,0.0003316125,0.004136431,0,0,0,-0.6914773,33.46432,-979.8267,0
619,0.0001919862,0.0003141593,0.004136431,0,0,0,-0.7749727,30.39406,-980.8081,0
624,0.0001919862,0.0003141593,0.004136431,0,0,0,-0.811529,28.69375,-980.8271,0
629,0.0001919862,0.0003141593,0.004136431,0,0,0,-0.811529,28.69375,-980.8271,0
634,0.0002094395,0.0003141593,0.004136431,0,0,0,-0.8151733,27.97243,-981.3115,0
639,0.0002094395,0.0003141593,0.004118977,0,0,0,-0.7117149,30.98185,-980.8203,0
644,0.0002094395,0.0003141593,0.004118977,0,0,0,-0.8320735,28.94073,-981.0205,0
649,0.0002094395,0.0003141593,0.004101524,0,0,0,-0.825718,30.11922,-980.9316,0
654,0.0002094395,0.0003316125,0.004101524,0,0,0,-0.9002927,29.25648,-981.1401,0
659,0.0002268928,0.0003316125,0.004118977,0,0,0,-0.9372329,29.08701,-981.147,0
664,0.0002268928,0.0003316125,0.004118977,0,0,0,-0.9236279,29.85872,-980.9961,0
669,0.0002268928,0.0003316125,0.004118977,0,0,0,-0.9584595,29.20218,-981.0684,0
674,0.0002268928,0.0003316125,0.004118977,0,0,0,-0.9403983,29.62412,-981.0068,0
679,0.0002268928,0.0003141593,0.004101524,0,0,0,-0.9395127,29.38251,-981.0654,0
